2023-03-07T03:16:54.352Z [ 0.070105, 31.2054 ] [ 0.070104, 38.1997 ]
2023-03-07T03:16:54.888Z [ 0.070105, 31.2054 ] [ 0.070104, 38.1997 ]
2023-03-07T03:16:54.888Z [ 0.070105, 31.2054 ] [ 0.070104, 38.1997 ]
2023-03-07T03:16:55.054Z [ 0.070105, 31.2054 ] [ 0.070104, 38.1997 ]
2023-03-07T03:16:55.252Z [ 0.070105, 31.2054 ] [ 0.070104, 38.1997 ]
2023-03-07T03:16:55.354Z [ 0.070105, 31.2054 ] [ 0.070104, 38.1997 ]
2023-03-07T03:16:55.453Z [ 0.070105, 26.1292 ] [ 0.070104, 38.1997 ]
2023-03-07T03:16:55.552Z [ 0.070105, 26.1292 ] [ 0.070104, 38.1997 ]
2023-03-07T03:16:55.652Z [ 0.070105, 26.1292 ] [ 0.070104, 38.1997 ]
2023-03-07T03:16:55.754Z [ 0.070105, 26.1292 ] [ 0.070104, 43.276 ]
2023-03-07T03:16:55.857Z [ 0.070105, 26.1292 ] [ 0.070104, 43.276 ]
2023-03-07T03:16:55.955Z [ 0.070105, 26.1292 ] [ 0.070104, 38.1997 ]
2023-03-07T03:16:56.060Z [ 0.070105, 26.1292 ] [ 0.070104, 38.1997 ]
2023-03-07T03:16:56.175Z [ 0.070105, 26.1292 ] [ 0.070104, 38.1997 ]
2023-03-07T03:16:57.155Z [ 0.070105, 26.1292 ] [ 0.070104, 38.1997 ]
2023-03-07T03:16:57.672Z [ 0.070105, 26.1292 ] [ 0.070104, 38.1997 ]
2023-03-07T03:16:58.574Z [ 0.070105, 26.1292 ] [ 0.070104, 41.3997 ]
2023-03-07T03:16:58.655Z [ 0.070105, 26.1292 ] [ 0.070104, 41.3997 ]
2023-03-07T03:16:58.755Z [ 0.070105, 26.1292 ] [ 0.070104, 41.9997 ]
2023-03-07T03:16:59.170Z [ 0.070105, 26.1292 ] [ 0.070104, 41.9997 ]
2023-03-07T03:16:59.257Z [ 0.070105, 26.1292 ] [ 0.070104, 41.9997 ]
2023-03-07T03:16:59.358Z [ 0.070105, 26.1292 ] [ 0.070104, 41.9997 ]
2023-03-07T03:17:00.048Z [ 0.070105, 26.1292 ] [ 0.070104, 41.9997 ]
2023-03-07T03:17:00.048Z [ 0.070105, 26.1292 ] [ 0.070104, 41.9997 ]
2023-03-07T03:17:00.158Z [ 0.070105, 26.1292 ] [ 0.070104, 41.9997 ]
2023-03-07T03:17:00.257Z [ 0.070105, 26.1292 ] [ 0.070104, 41.9997 ]
2023-03-07T03:17:00.358Z [ 0.070105, 26.1292 ] [ 0.070104, 41.9997 ]
2023-03-07T03:17:00.561Z [ 0.070105, 26.1292 ] [ 0.070104, 41.9997 ]
2023-03-07T03:17:00.654Z [ 0.070105, 26.1292 ] [ 0.070104, 41.9997 ]
2023-03-07T03:17:00.754Z [ 0.070105, 31.2059 ] [ 0.070104, 41.9997 ]
2023-03-07T03:17:00.862Z [ 0.070105, 31.2059 ] [ 0.070104, 41.9997 ]
2023-03-07T03:17:00.959Z [ 0.070105, 31.2059 ] [ 0.070104, 41.9997 ]
2023-03-07T03:17:01.157Z [ 0.070105, 31.2059 ] [ 0.070104, 41.9997 ]
2023-03-07T03:17:01.258Z [ 0.070105, 31.2059 ] [ 0.070104, 41.9997 ]
2023-03-07T03:17:01.359Z [ 0.070105, 31.2059 ] [ 0.070104, 41.9997 ]
2023-03-07T03:17:01.457Z [ 0.070105, 31.2059 ] [ 0.070104, 41.9997 ]
2023-03-07T03:17:01.557Z [ 0.070105, 31.2059 ] [ 0.070104, 41.9997 ]
2023-03-07T03:17:01.962Z [ 0.070105, 31.1804 ] [ 0.070104, 41.9997 ]
2023-03-07T03:17:02.058Z [ 0.070105, 31.1583 ] [ 0.070104, 41.9997 ]
2023-03-07T03:17:02.568Z [ 0.070105, 31.1583 ] [ 0.070104, 41.9997 ]
2023-03-07T03:17:02.569Z [ 0.070105, 31.1583 ] [ 0.070104, 41.9997 ]
2023-03-07T03:17:03.182Z [ 0.070105, 31.1188 ] [ 0.070104, 41.9997 ]
2023-03-07T03:17:03.817Z [ 0.070105, 31.0477 ] [ 0.070104, 41.9997 ]
2023-03-07T03:17:03.817Z [ 0.070105, 29.6213 ] [ 0.070104, 41.9997 ]
2023-03-07T03:17:03.872Z [ 0.070105, 29.6051 ] [ 0.070104, 41.9997 ]
2023-03-07T03:17:03.956Z [ 0.070105, 29.507 ] [ 0.070104, 41.9997 ]
2023-03-07T03:17:05.640Z [ 0.070105, 29.507 ] [ 0.070104, 41.9997 ]
2023-03-07T03:17:05.641Z [ 0.070105, 29.4785 ] [ 0.070104, 41.9997 ]
2023-03-07T03:17:05.641Z [ 0.070105, 29.4785 ] [ 0.070104, 41.9997 ]
2023-03-07T03:17:05.758Z [ 0.070105, 29.4785 ] [ 0.070104, 47.0766 ]
2023-03-07T03:17:05.859Z [ 0.070105, 29.4542 ] [ 0.070104, 47.0766 ]
